,Accuracy,Precision,Specificity,Sensitivity,AUC ROC,auc pr
0,0.805194805,0.692307692,0.846153846,0.72,0.831538462,0.743285926
1,0.714285714,0.517241379,0.740740741,0.652173913,0.731078905,0.549690114
2,0.623376623,0.466666667,0.68,0.518518519,0.674074074,0.501948166
3,0.545454545,0.368421053,0.744680851,0.233333333,0.631205674,0.446264302
4,0.766233766,0.583333333,0.716981132,0.875,0.84827044,0.693354425
5,0.779220779,0.740740741,0.85106383,0.666666667,0.824113475,0.722930803
6,0.766233766,0.620689655,0.788461538,0.72,0.78,0.595613958
7,0.597402597,0,0.978723404,0,0.629787234,0.484033844
8,0.776315789,0.5625,0.877192982,0.473684211,0.806094183,0.511670777
9,0.644736842,0.7,0.853658537,0.4,0.732404181,0.629539973
,0.701845523,0.525190052,0.807765686,0.525937664,0.748856663,0.587833229
