,Accuracy,Precision,Recall,AUC ROC,auc pr
0,0.631578947,0.606140351,0.631578947,0.3,0.407678029
1,0.684210526,0.789473684,0.684210526,0.25,0.422760869
2,0.611111111,0.431372549,0.611111111,0.527777778,0.526657095
3,0.722222222,0.594771242,0.722222222,0.375,0.434737193
4,0.5,0.4,0.5,0.305555556,0.418067696
5,0.777777778,0.762962963,0.777777778,0.646153846,0.673389063
6,0.722222222,0.594771242,0.722222222,0.125,0.362358718
7,0.833333333,0.862745098,0.833333333,0.517857143,0.597459206
8,0.722222222,0.711111111,0.722222222,0.583333333,0.619432967
9,0.666666667,0.622222222,0.666666667,0.384615385,0.423366428
10,0.952380952,0.957142857,0.952380952,1,1
11,0.952380952,0.958333333,0.952380952,0.983333333,0.968518519
12,0.857142857,0.858998145,0.857142857,0.975058275,0.969194024
13,1,1,1,1,1
14,1,1,1,1,1
15,0.904761905,0.916855631,0.904761905,0.982690854,0.968953137
16,0.952380952,0.96031746,0.952380952,1,1
17,0.952380952,0.96031746,0.952380952,0.988636364,0.96959596
18,0.904761905,0.916855631,0.904761905,1,1
19,0.952380952,0.958333333,0.952380952,0.989795918,0.977522676
20,0.805128205,0.809394045,0.805128205,0.965991986,0.856370133
21,0.778350515,0.788157027,0.778350515,0.960868305,0.854173869
22,0.773195876,0.769624617,0.773195876,0.962340904,0.8529832
23,0.788659794,0.789690722,0.788659794,0.957513711,0.852288818
24,0.788659794,0.794631632,0.788659794,0.955689212,0.876437436
25,0.768041237,0.786085952,0.768041237,0.96108143,0.869900726
26,0.762886598,0.767100341,0.762886598,0.963883736,0.871499049
27,0.793814433,0.794044077,0.793814433,0.964416792,0.898146126
28,0.757731959,0.761974449,0.757731959,0.958109229,0.859112344
29,0.778350515,0.782352413,0.778350515,0.962214212,0.849777315
