,Accuracy,Precision,Recall,AUC ROC,auc pr
0,0.4,0.94,0.4,1.0,0.9999999999999999
1,0.6,0.84,0.6,0.9663299663299663,0.9381613756613755
2,0.9333333333333333,0.9407407407407408,0.9333333333333333,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,0.9333333333333333,0.9555555555555556,0.9333333333333333,1.0,1.0
7,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9857575757575757,0.9690277777777778
8,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.9938271604938271,0.9914021164021163
9,0.4666666666666667,0.26153846153846155,0.4666666666666667,0.9933333333333333,0.9877777777777778
