,Accuracy,Precision,Specificity,Sensitivity,AUC ROC,auc pr
0,0.805194805,0.739130435,0.882352941,0.653846154,0.804675716,0.7185607
1,0.74025974,0.684210526,0.88,0.481481481,0.736296296,0.636664657
2,0.727272727,0.4,0.896551724,0.210526316,0.738656987,0.395388176
3,0.779220779,1,1,0.46875,0.924305556,0.908803967
4,0.74025974,0.666666667,0.882352941,0.461538462,0.764705882,0.625630526
5,0.74025974,0.611111111,0.867924528,0.458333333,0.768867925,0.623098565
6,0.571428571,0.714285714,0.951219512,0.138888889,0.746612466,0.676432763
7,0.896103896,0.928571429,0.98245614,0.65,0.944736842,0.885750501
8,0.763157895,0.8125,0.9375,0.464285714,0.817708333,0.741541234
9,0.842105263,0.846153846,0.913043478,0.733333333,0.905072464,0.88358171
,0.760526316,0.740262973,0.919340127,0.472098368,0.815163847,0.70954528
