,Accuracy,Precision,Recall,AUC ROC,auc pr,,Accuracy,Precision,Recall,AUC ROC,auc pr
0,0.753246753,0.763049853,0.753246753,0.770408163,0.728414263,,0.765550239,0.76976428,0.765550239,0.8184893,0.78501937
1,0.779220779,0.797556207,0.779220779,0.821428571,0.831460777,,,,,,
2,0.766233766,0.79725175,0.766233766,0.803719008,0.821326608,,,,,,
3,0.779220779,0.779076479,0.779220779,0.865972222,0.852327388,,,,,,
4,0.753246753,0.743546413,0.753246753,0.828461538,0.784315128,,,,,,
5,0.766233766,0.770861323,0.766233766,0.811851852,0.763224998,,,,,,
6,0.779220779,0.766513057,0.779220779,0.869421488,0.790847478,,,,,,
7,0.805194805,0.807602398,0.805194805,0.871855346,0.822763982,,,,,,
8,0.723684211,0.718397439,0.723684211,0.703065134,0.622555234,,,,,,
9,0.75,0.753787879,0.75,0.838709677,0.832957844,,,,,,
10,0.684210526,0.468144044,0.684210526,0.435897436,0.483273752,,0.698245614,0.513791473,0.698245614,0.46790515,0.509211574
11,0.631578947,0.398891967,0.631578947,0.642857143,0.686505487,,,,,,
12,0.611111111,0.431372549,0.611111111,0.416666667,0.477068084,,,,,,
13,0.777777778,0.604938272,0.777777778,0.392857143,0.441090854,,,,,,
14,0.722222222,0.521604938,0.722222222,0.692307692,0.634058173,,,,,,
15,0.611111111,0.37345679,0.611111111,0.363636364,0.46403851,,,,,,
16,0.666666667,0.583333333,0.666666667,0.5,0.508264643,,,,,,
17,0.722222222,0.521604938,0.722222222,0.415384615,0.489724919,,,,,,
18,0.888888889,0.790123457,0.888888889,0.5,0.506806796,,,,,,
19,0.666666667,0.444444444,0.666666667,0.319444444,0.40128452,,,,,,
20,0.857142857,0.876190476,0.857142857,0.964415396,0.876262626,,0.919047619,0.93372449,0.919047619,0.990129739,0.97672337
21,1,1,1,1,1,,,,,,
22,1,1,1,1,1,,,,,,
23,1,1,1,1,1,,,,,,
24,0.904761905,0.904761905,0.904761905,0.987024439,0.979182127,,,,,,
25,0.857142857,0.87414966,0.857142857,0.967450142,0.945666082,,,,,,
26,0.857142857,0.878968254,0.857142857,0.991666667,0.979365079,,,,,,
27,0.952380952,0.957142857,0.952380952,0.990740741,0.98675779,,,,,,
28,0.761904762,0.846031746,0.761904762,1,1,,,,,,
29,1,1,1,1,1,,,,,,
30,0.753846154,0.759930703,0.753846154,0.945002109,0.793624478,,0.775384615,0.782579527,0.775384615,0.95447466,0.833547021
31,0.773195876,0.771568418,0.773195876,0.955262201,0.840593944,,,,,,
32,0.804123711,0.806529912,0.804123711,0.969684068,0.884599622,,,,,,
33,0.788659794,0.799818915,0.788659794,0.943353548,0.82469231,,,,,,
34,0.819587629,0.828217597,0.819587629,0.953059392,0.868591365,,,,,,
35,0.804123711,0.818248032,0.804123711,0.970152299,0.905880494,,,,,,
36,0.75257732,0.759604275,0.75257732,0.953675649,0.844359913,,,,,,
37,0.75257732,0.762950866,0.75257732,0.949923917,0.739841665,,,,,,
38,0.783505155,0.794123449,0.783505155,0.954468832,0.805662554,,,,,,
39,0.721649485,0.724803103,0.721649485,0.950164579,0.827623861,,,,,,
